"curie_id","label","mapped_curie","mapped_label","mapping_source_prefix","mapping_target_prefix","distance"
"DOID:10149","long bones of lower limb cancer","ICD9CM:170.7","Malignant neoplasm of long bones of lower limb","DOID","ICD9CM","1"
"DOID:10175","optic papillitis","ICD9CM:377.31","Optic papillitis","DOID","ICD9CM","1"
"DOID:10175","optic papillitis","ICD9CM:377.0","","DOID","ICD9CM","1"
"DOID:10175","optic papillitis","ICD9CM:377.00","Papilledema, unspecified","DOID","ICD9CM","1"
"DOID:10175","optic papillitis","ICD9CM:377.01","Papilledema associated with increased intracranial pressure","DOID","ICD9CM","1"
"DOID:10175","optic papillitis","ICD9CM:362.83","Retinal edema","DOID","ICD9CM","1"
"DOID:8761","megakaryocytic leukemia","ICD9CM:207.2","","BAO,DOID","ICD9CM","1"
"DOID:1025","tuberculoid leprosy","ICD9CM:030.1","Tuberculoid leprosy [type T]","DOID","ICD9CM","1"
"DOID:12797","hallucinogen abuse","ICD9CM:305.3","","MFOMD,DOID","ICD9CM","1"
"DOID:6713","cerebrovascular disease","ICD9CM:437.9","Unspecified cerebrovascular disease","BAO,DOID","ICD9CM","1"
"DOID:6713","cerebrovascular disease","ICD9CM:430-438.99","","BAO,DOID","ICD9CM","1"
"DOID:13365","reading disorder","ICD9CM:315.09","Other specific developmental reading disorder","MFOMD,BAO","ICD9CM","1"
"DOID:9590","lower urinary tract calculus","ICD9CM:594","","DOID","ICD9CM","1"
"DOID:9590","lower urinary tract calculus","ICD9CM:594.9","Calculus of lower urinary tract, unspecified","DOID","ICD9CM","1"
"DOID:780","placenta disease","ICD9CM:646.9","","BAO,ONTONEO,DOID","ICD9CM","1"
"DOID:0050117","disease by infectious agent","ICD9CM:079.0","Adenovirus infection in conditions classified elsewhere and of unspecified site","VO,BAO,DOID","ICD9CM","1"
"DOID:1080","filariasis","ICD9CM:125.9","Unspecified filariasis","BAO,DOID","ICD9CM","1"
"DOID:9775","diastolic heart failure","ICD9CM:428.30","Diastolic heart failure, unspecified","BAO,DOID","ICD9CM","1"
"DOID:9775","diastolic heart failure","ICD9CM:428.3","","BAO,DOID","ICD9CM","1"
"DOID:2174","ocular cancer","ICD9CM:190.8","Malignant neoplasm of other specified sites of eye","BAO,DOID","ICD9CM","1"
"DOID:9640","sarcocystosis","ICD9CM:136.5","Sarcosporidiosis","BAO,DOID","ICD9CM","1"
"DOID:10493","adrenal cortical hypofunction","ICD9CM:255.4","","BAO,DOID","ICD9CM","1"
"DOID:8632","Kaposi's sarcoma","ICD9CM:176.4","Kaposi's sarcoma, lung","BAO,DOID","ICD9CM","1"
"DOID:8632","Kaposi's sarcoma","ICD9CM:176.2","Kaposi's sarcoma, palate","BAO,DOID","ICD9CM","1"
"DOID:8632","Kaposi's sarcoma","ICD9CM:176.9","Kaposi's sarcoma, unspecified site","BAO,DOID","ICD9CM","1"
"DOID:8632","Kaposi's sarcoma","ICD9CM:176.5","Kaposi's sarcoma, lymph nodes","BAO,DOID","ICD9CM","1"
"DOID:8632","Kaposi's sarcoma","ICD9CM:176.1","Kaposi's sarcoma, soft tissue","BAO,DOID","ICD9CM","1"
"DOID:8632","Kaposi's sarcoma","ICD9CM:176","","BAO,DOID","ICD9CM","1"
"DOID:8632","Kaposi's sarcoma","ICD9CM:176.3","Kaposi's sarcoma, gastrointestinal sites","BAO,DOID","ICD9CM","1"
"DOID:8632","Kaposi's sarcoma","ICD9CM:176.0","Kaposi's sarcoma, skin","BAO,DOID","ICD9CM","1"
"DOID:2456","blepharoconjunctivitis","ICD9CM:372.2","","DOID","ICD9CM","1"
"DOID:2456","blepharoconjunctivitis","ICD9CM:372.20","Blepharoconjunctivitis, unspecified","DOID","ICD9CM","1"
"DOID:12510","retinal ischemia","ICD9CM:362.84","Retinal ischemia","DOID","ICD9CM","1"
"DOID:10825","essential hypertension","ICD9CM:401","","ONTONEO,DOID","ICD9CM","1"
"DOID:10825","essential hypertension","ICD9CM:401.9","Unspecified essential hypertension","DOID","ICD9CM","1"
"DOID:13911","achromatopsia","ICD9CM:368.54","Achromatopsia","BAO,DOID","ICD9CM","1"
"DOID:10125","acute hydrops keratoconus","ICD9CM:371.62","Keratoconus, acute hydrops","DOID","ICD9CM","1"
"DOID:12735","hernia of ovary and fallopian tube","ICD9CM:620.4","Prolapse or hernia of ovary and fallopian tube","DOID","ICD9CM","1"
"DOID:11963","esophagitis","ICD9CM:530.1","","BAO,DOID","ICD9CM","1"
"DOID:11963","esophagitis","ICD9CM:530.10","Esophagitis, unspecified","BAO,DOID","ICD9CM","1"
"DOID:1947","trichomoniasis","ICD9CM:131.9","Trichomoniasis, unspecified","BAO,DOID,EFO","ICD9CM","1"
"DOID:1947","trichomoniasis","ICD9CM:131","","BAO,DOID,EFO","ICD9CM","1"
"DOID:1947","trichomoniasis","ICD9CM:131.8","Trichomoniasis of other specified sites","EFO","ICD9CM","1"
"DOID:10293","monocular esotropia","ICD9CM:378.01","Monocular esotropia","DOID","ICD9CM","1"
"DOID:381","arthropathy","ICD9CM:716.90","Arthropathy, unspecified, site unspecified","BAO,DOID","ICD9CM","1"
"DOID:381","arthropathy","ICD9CM:716.9","","BAO,DOID","ICD9CM","1"
"DOID:381","arthropathy","ICD9CM:711","","BAO,DOID","ICD9CM","1"
"DOID:381","arthropathy","ICD9CM:719.90","Unspecified disorder of joint, site unspecified","BAO,DOID","ICD9CM","1"
"DOID:381","arthropathy","ICD9CM:719.9","","DOID,BAO","ICD9CM","1"
"DOID:11717","neonatal diabetes mellitus","ICD9CM:775.1","Neonatal diabetes mellitus","ONTONEO,BAO,DOID","ICD9CM","1"
"DOID:8826","colon carcinoma in situ","ICD9CM:230.3","Carcinoma in situ of colon","BAO,DOID","ICD9CM","1"
"DOID:11661","blue color blindness","ICD9CM:368.53","Tritan defect","BAO,DOID","ICD9CM","1"
"DOID:11256","typhus","ICD9CM:081.0","Murine (endemic) typhus","BAO,DOID","ICD9CM","1"
"DOID:11256","typhus","ICD9CM:080","Louse-borne (epidemic) typhus","BAO,DOID","ICD9CM","1"
"DOID:11256","typhus","ICD9CM:081.9","Typhus, unspecified","BAO,DOID","ICD9CM","1"
"DOID:13801","pharyngoconjunctival fever","ICD9CM:077.2","Pharyngoconjunctival fever","DOID","ICD9CM","1"
"DOID:734","urethra cancer","ICD9CM:189.3","Malignant neoplasm of urethra","BAO,DOID","ICD9CM","1"
"DOID:13025","retinopathy of prematurity","ICD9CM:362.20","Retinopathy of prematurity, unspecified","BAO,DOID","ICD9CM","1"
"DOID:13025","retinopathy of prematurity","ICD9CM:362.21","Retrolental fibroplasia","BAO,DOID","ICD9CM","1"
"DOID:11563","retinal vasculitis","ICD9CM:362.18","Retinal vasculitis","DOID","ICD9CM","1"
"DOID:0050596","taeniasis","ICD9CM:123.2","Taenia saginata infection","BAO,DOID","ICD9CM","1"
"DOID:9125","lower gum cancer","ICD9CM:143.1","Malignant neoplasm of lower gum","DOID","ICD9CM","1"
"DOID:8574","lichen disease","ICD9CM:697.9","Lichen, unspecified","BAO,DOID","ICD9CM","1"
"DOID:8574","lichen disease","ICD9CM:697","","BAO,DOID","ICD9CM","1"
"DOID:8738","leukoplakia of penis","ICD9CM:607.0","Leukoplakia of penis","DOID","ICD9CM","1"
"DOID:11269","chronic apical periodontitis","ICD9CM:522.6","Chronic apical periodontitis","BAO,DOID","ICD9CM","1"
"DOID:0050747","lymphoplasmacytic lymphoma","ICD9CM:273.3","Macroglobulinemia","CLO,DOID","ICD9CM","1"
"DOID:580","acute urate nephropathy","ICD9CM:274.11","Uric acid nephrolithiasis","BAO","ICD9CM","1"
"DOID:1098","fetal erythroblastosis","ICD9CM:773.2","Hemolytic disease of fetus or newborn due to other and unspecified isoimmunization","ONTONEO,DOID","ICD9CM","1"
"DOID:1098","fetal erythroblastosis","ICD9CM:773","","ONTONEO,DOID","ICD9CM","1"
"DOID:13972","female breast lower-outer quadrant cancer","ICD9CM:174.5","Malignant neoplasm of lower-outer quadrant of female breast","DOID","ICD9CM","1"
"DOID:1148","polydactyly","ICD9CM:755.00","Polydactyly, unspecified digits","BAO,DOID","ICD9CM","1"
"DOID:1148","polydactyly","ICD9CM:755.0","","BAO,DOID","ICD9CM","1"
"DOID:10844","Japanese encephalitis","ICD9CM:062.0","Japanese encephalitis","BAO,DOID","ICD9CM","1"
"DOID:10882","epidemic pleurodynia","ICD9CM:074.1","Epidemic pleurodynia","BAO,DOID","ICD9CM","1"
"DOID:8593","chronic monocytic leukemia","ICD9CM:206.1","","BAO,DOID","ICD9CM","1"
"DOID:10790","chronic frontal sinusitis","ICD9CM:473.1","Chronic frontal sinusitis","ONTONEO,DOID","ICD9CM","1"
